Plot,Code,Dominant,Quarter,Dominant_Species,#H,#B,#L,#T,#R,#O,#S,Comments,Clipping_Treatment,Replication
107,R:D-C:3,1,B,R,0,72,0,0,3,0,0,,0,3
107,R:D-C:3,1,C,R,3,106,0,0,0,0,0,,0,3
107,R:D-C:3,1,D,R,5,112,0,0,0,0,0,,0,3
108,R:D-C:5,1,A,R,5,6,0,0,0,0,0,,0,5
108,R:D-C:5,1,B,R,3,9,0,0,1,0,0,,0,5
108,R:D-C:5,1,C,R,9,19,0,0,0,0,0,,0,5
108,R:D-C:5,1,D,R,4,31,0,0,0,0,0,,0,5
109,S:D-C:1,1,A,S,1,15,0,0,3,0,3,High mortality,0,1
109,S:D-C:1,1,B,S,1,0,0,0,4,0,0,,0,1
109,S:D-C:1,1,C,S,9,12,0,0,0,1,1,,0,1
109,S:D-C:1,1,D,S,9,5,0,0,0,0,0,,0,1
110,L:M-C:5,0,A,L,,,3,,,,,,0,5
110,L:M-C:5,0,B,L,,,4,,,,,,0,5
110,L:M-C:5,0,C,L,,,6,,,,,,0,5
110,L:M-C:5,0,D,L,,,10,,,,,,0,5
111,R:D-L:5,1,A,R,1,54,3,4,13,6,0,,2,5
111,R:D-L:5,1,B,R,1,51,3,0,13,3,0,,2,5
111,R:D-L:5,1,C,R,0,59,2,1,2,0,2,,2,5
111,R:D-L:5,1,D,R,5,63,1,0,29,0,0,,2,5
112,T:D-E:1,1,A,T,13,6,0,0,2,0,0,,1,1
112,T:D-E:1,1,B,T,6,18,0,0,0,0,0,,1,1
112,T:D-E:1,1,C,T,26,0,0,0,0,0,0,,1,1
112,T:D-E:1,1,D,T,17,16,0,1,0,0,0,,1,1
113,R:M-C:2,0,A,R,,,,,11,,,,0,2
113,R:M-C:2,0,B,R,,,,,28,,,,0,2
113,R:M-C:2,0,C,R,,,,,31,,,,0,2
113,R:M-C:2,0,D,R,,,,,33,,,,0,2
114,S:D-L:5,1,A,S,3,23,0,0,1,1,1,,2,5
114,S:D-L:5,1,B,S,5,22,0,0,1,0,0,,2,5
114,S:D-L:5,1,C,S,5,36,0,0,8,0,0,,2,5
114,S:D-L:5,1,D,S,9,15,0,0,0,0,0,,2,5
115,L:M-L:4,0,A,L,,,6,,,,,,2,4
115,L:M-L:4,0,B,L,,,15,,,,,,2,4
115,L:M-L:4,0,C,L,,,11,,,,,,2,4
115,L:M-L:4,0,D,L,,,6,,,,,,2,4
116,B:M-E:4,0,A,B,,0,,,,,,,1,4
116,B:M-E:4,0,B,B,,5,,,,,,,1,4
116,B:M-E:4,0,C,B,,4,,,,,,,1,4
116,B:M-E:4,0,D,B,,6,,,,,,,1,4
117,L:D-C:3,1,A,L,5,41,0,0,0,0,0,,0,3
117,L:D-C:3,1,B,L,3,34,0,0,0,0,0,,0,3
117,L:D-C:3,1,C,L,4,19,0,0,0,0,0,,0,3
117,L:D-C:3,1,D,L,3,23,0,0,0,0,0,,0,3
118,H:D-E:1,1,A,H,4,0,7,0,1,3,5,,1,1
118,H:D-E:1,1,B,H,6,0,3,0,0,0,3,,1,1
118,H:D-E:1,1,C,H,5,6,5,0,0,1,9,,1,1
118,H:D-E:1,1,D,H,5,0,7,0,0,0,3,,1,1
119,H:M-E:2,0,A,H,34,,,,,,,,1,2
119,H:M-E:2,0,B,H,30,,,,,,,,1,2
119,H:M-E:2,0,C,H,26,,,,,,,,1,2
119,H:M-E:2,0,D,H,40,,,,,,,,1,2
120,T:D-C:3,1,A,T,20,0,0,0,0,0,0,,0,3
120,T:D-C:3,1,B,T,15,0,0,0,0,0,0,,0,3
120,T:D-C:3,1,C,T,11,0,0,0,0,0,0,,0,3
120,T:D-C:3,1,D,T,3,1,0,0,0,0,0,,0,3
121,T:M-L:5,0,A,T,,,,6,,,,,2,5
121,T:M-L:5,0,B,T,,,,8,,,,,2,5
121,T:M-L:5,0,C,T,,,,4,,,,,2,5
121,T:M-L:5,0,D,T,,,,7,,,,,2,5
122,B:D-C:5,1,A,B,6,76,0,0,0,0,0,,0,5
122,B:D-C:5,1,B,B,5,75,0,0,0,0,0,,0,5
122,B:D-C:5,1,C,B,8,108,0,0,0,0,0,,0,5
122,B:D-C:5,1,D,B,12,184,0,0,0,0,0,,0,5
123,B:M-L:5,0,A,B,,100,,,,,,,2,5
123,B:M-L:5,0,B,B,,152,,,,,,,2,5
123,B:M-L:5,0,C,B,,136,,,,,,,2,5
123,B:M-L:5,0,D,B,,199,,,,,,,2,5
124,O:M-L:4,0,A,O,,,,,,29,,,2,4
124,O:M-L:4,0,B,O,,,,,,78,,,2,4
124,O:M-L:4,0,C,O,,,,,,96,,,2,4
124,O:M-L:4,0,D,O,,,,,,58,,,2,4
125,T:D-C:1,1,A,T,0,0,0,0,4,3,14,,0,1
125,T:D-C:1,1,B,T,0,0,0,0,23,2,1,,0,1
125,T:D-C:1,1,C,T,0,3,0,0,17,2,11,,0,1
125,T:D-C:1,1,D,T,1,11,0,0,9,3,9,,0,1
126,L:D-E:3,1,A,L,3,26,1,0,0,0,0,,1,3
126,L:D-E:3,1,B,L,6,22,1,0,0,0,0,,1,3
126,L:D-E:3,1,C,L,8,16,1,1,7,0,0,,1,3
126,L:D-E:3,1,D,L,2,19,3,4,0,0,0,,1,3
127,B:M-C:2,0,A,B,,73,,,,,,,0,2
127,B:M-C:2,0,B,B,,96,,,,,,,0,2
127,B:M-C:2,0,C,B,,112,,,,,,,0,2
127,B:M-C:2,0,D,B,,114,,,,,,,0,2
128,O:M-C:4,0,A,O,,,,,,51,,,0,4
128,O:M-C:4,0,B,O,,,,,,33,,,0,4
128,O:M-C:4,0,C,O,,,,,,59,,,0,4
128,O:M-C:4,0,D,O,,,,,,42,,,0,4
129,H:D-E:5,1,A,H,4,9,0,0,7,0,0,,1,5
129,H:D-E:5,1,B,H,3,11,0,0,0,0,0,,1,5
129,H:D-E:5,1,C,H,6,11,0,0,4,0,0,,1,5
129,H:D-E:5,1,D,H,9,13,0,0,1,0,0,,1,5
130,R:D-E:2,1,A,R,0,0,0,0,30,2,0,,1,2
130,R:D-E:2,1,B,R,0,0,0,0,51,2,0,,1,2
130,R:D-E:2,1,C,R,0,0,0,0,16,7,0,,1,2
130,R:D-E:2,1,D,R,0,0,0,0,37,2,0,,1,2
131,S:M-L:1,0,A,S,,,,,,,7,,2,1
131,S:M-L:1,0,B,S,,,,,,,6,,2,1
131,S:M-L:1,0,C,S,,,,,,,21,,2,1
131,S:M-L:1,0,D,S,,,,,,,10,,2,1
132,T:M-L:3,0,A,T,,,,15,,,,,2,3
132,T:M-L:3,0,B,T,,,,13,,,,,2,3
132,T:M-L:3,0,C,T,,,,14,,,,,2,3
132,T:M-L:3,0,D,T,,,,11,,,,,2,3
133,R:M-E:1,0,A,R,,,,,45,,,,1,1
133,R:M-E:1,0,B,R,,,,,77,,,,1,1
133,R:M-E:1,0,C,R,,,,,73,,,,1,1
133,R:M-E:1,0,D,R,,,,,41,,,,1,1
134,O:M-C:3,0,A,O,,,,,,12,,,0,3
134,O:M-C:3,0,B,O,,,,,,13,,,0,3
134,O:M-C:3,0,C,O,,,,,,9,,,0,3
134,O:M-C:3,0,D,O,,,,,,7,,,0,3
135,B:D-E:4,1,A,B,0,18,0,0,0,0,0,,1,4
135,B:D-E:4,1,B,B,4,20,0,0,0,0,0,,1,4
135,B:D-E:4,1,C,B,2,23,0,0,0,0,0,,1,4
135,B:D-E:4,1,D,B,0,21,0,0,0,0,0,,1,4
136,R:M-E:5,0,A,R,,,,,35,,,,1,5
136,R:M-E:5,0,B,R,,,,,25,,,,1,5
136,R:M-E:5,0,C,R,,,,,42,,,,1,5
136,R:M-E:5,0,D,R,,,,,33,,,,1,5
137,L:D-L:2,1,A,L,3,57,6,0,9,2,0,,2,2
137,L:D-L:2,1,B,L,1,94,1,0,8,2,0,,2,2
137,L:D-L:2,1,C,L,0,122,0,0,0,0,0,,2,2
137,L:D-L:2,1,D,L,1,124,1,0,4,1,0,,2,2
138,H:M-L:5,0,A,H,6,,,,,,,,2,5
138,H:M-L:5,0,B,H,16,,,,,,,,2,5
138,H:M-L:5,0,C,H,6,,,,,,,,2,5
138,H:M-L:5,0,D,H,5,,,,,,,,2,5
139,B:M-E:3,0,A,B,,237,,,,,,,1,3
139,B:M-E:3,0,B,B,,203,,,,,,,1,3
139,B:M-E:3,0,C,B,,127,,,,,,,1,3
139,B:M-E:3,0,D,B,,151,,,,,,,1,3
140,L:M-E:2,0,A,L,,,4,,,,,,1,2
140,L:M-E:2,0,B,L,,,7,,,,,,1,2
140,L:M-E:2,0,C,L,,,2,,,,,,1,2
140,L:M-E:2,0,D,L,,,6,,,,,,1,2
141,S:D-C:2,1,A,S,0,47,0,0,2,0,0,,0,2
141,S:D-C:2,1,B,S,0,97,0,0,0,0,1,,0,2
141,S:D-C:2,1,C,S,0,75,0,0,0,0,0,,0,2
141,S:D-C:2,1,D,S,1,133,0,0,0,0,1,,0,2
142,O:D-L:3,1,A,O,0,27,0,1,0,8,4,,2,3
142,O:D-L:3,1,B,O,0,52,0,0,1,5,1,,2,3
142,O:D-L:3,1,C,O,2,31,0,0,0,0,4,,2,3
142,O:D-L:3,1,D,O,1,41,0,0,0,2,2,,2,3
143,B:M-E:1,0,A,B,,97,,,,,,,1,1
143,B:M-E:1,0,B,B,,101,,,,,,,1,1
143,B:M-E:1,0,C,B,,106,,,,,,,1,1
143,B:M-E:1,0,D,B,,98,,,,,,,1,1
144,L:M-E:3,0,A,L,,,4,,,,,,1,3
144,L:M-E:3,0,B,L,,,3,,,,,,1,3
144,L:M-E:3,0,C,L,,,2,,,,,,1,3
144,L:M-E:3,0,D,L,,,4,,,,,,1,3
145,B:D-L:1,1,A,B,1,45,0,0,0,0,0,,2,1
145,B:D-L:1,1,B,B,6,108,0,0,0,0,0,,2,1
145,B:D-L:1,1,C,B,2,54,0,0,3,0,0,,2,1
145,B:D-L:1,1,D,B,2,84,1,0,0,0,1,,2,1
146,L:M-L:3,0,A,L,,,1,,,,,,2,3
146,L:M-L:3,0,B,L,,,4,,,,,,2,3
146,L:M-L:3,0,C,L,,,0,,,,,,2,3
146,L:M-L:3,0,D,L,,,6,,,,,,2,3
147,S:D-C:3,1,A,S,2,0,0,0,0,0,0,High mortality,0,3
147,S:D-C:3,1,B,S,3,0,0,0,0,0,0,,0,3
147,S:D-C:3,1,C,S,6,0,0,0,0,0,0,,0,3
147,S:D-C:3,1,D,S,9,0,0,0,0,0,0,,0,3
148,R:M-C:1,0,A,R,,,,,29,,,,0,1
148,R:M-C:1,0,B,R,,,,,52,,,,0,1
148,R:M-C:1,0,C,R,,,,,36,,,,0,1
148,R:M-C:1,0,D,R,,,,,49,,,,0,1
149,O:M-E:1,0,A,O,,,,,,23,,,1,1
149,O:M-E:1,0,B,O,,,,,,43,,,1,1
149,O:M-E:1,0,C,O,,,,,,32,,,1,1
149,O:M-E:3,0,D,O,,,,,,42,,,1,3
150,O:M-E:3,0,A,O,,,,,,6,,,1,3
150,O:M-E:3,0,B,O,,,,,,5,,,1,3
150,O:M-E:3,0,C,O,,,,,,3,,,1,3
150,O:M-E:3,0,D,O,,,,,,9,,,1,3
151,B:M-E:2,0,A,B,,11,,,,,,,1,2
151,B:M-E:2,0,B,B,,9,,,,,,,1,2
151,B:M-E:2,0,C,B,,8,,,,,,,1,2
151,B:M-E:2,0,D,B,,7,,,,,,,1,2
152,L:D-L:1,1,A,L,4,58,0,1,0,5,2,,2,1
152,L:D-L:1,1,B,L,3,59,2,0,1,4,2,,2,1
152,L:D-L:1,1,C,L,1,176,4,0,4,2,0,,2,1
152,L:D-L:1,1,D,L,0,58,7,1,0,2,0,,2,1
153,R:M-L:4,0,A,R,,,,,91,,,,2,4
153,R:M-L:4,0,B,R,,,,,84,,,,2,4
153,R:M-L:4,0,C,R,,,,,84,,,,2,4
153,R:M-L:4,0,D,R,,,,,93,,,,2,4
154,S:M-C:3,0,A,S,,,,,,,9,,0,3
154,S:M-C:3,0,B,S,,,,,,,18,,0,3
154,S:M-C:3,0,C,S,,,,,,,11,,0,3
154,S:M-C:3,0,D,S,,,,,,,15,,0,3
155,O:M-L:1,0,A,O,,,,,,17,,,2,1
155,O:M-L:1,0,B,O,,,,,,36,,,2,1
155,O:M-L:1,0,C,O,,,,,,29,,,2,1
155,O:M-L:1,0,D,O,,,,,,36,,,2,1
156,H:D-L:3,1,A,H,0,17,0,1,4,2,3,,2,3
156,H:D-L:3,1,B,H,0,34,0,0,7,1,1,,2,3
156,H:D-L:3,1,C,H,0,51,1,0,5,1,0,,2,3
156,H:D-L:3,1,D,H,0,20,0,0,4,0,1,,2,3
157,S:M-C:4,0,A,S,,,,,,,0,,0,4
157,S:M-C:4,0,B,S,,,,,,,0,,0,4
157,S:M-C:4,0,C,S,,,,,,,0,,0,4
157,S:M-C:4,0,D,S,,,,,,,2,,0,4
158,S:D-L:3,1,A,S,2,150,0,0,0,0,0,,2,3
158,S:D-L:3,1,B,S,1,113,0,0,0,0,0,,2,3
158,S:D-L:3,1,C,S,1,141,0,0,0,0,0,,2,3
158,S:D-L:3,1,D,S,2,119,3,0,0,0,0,,2,3
159,T:M-E:2,0,A,T,,,,5,,,,,1,2
159,T:M-E:2,0,B,T,,,,11,,,,,1,2
159,T:M-E:2,0,C,T,,,,9,,,,,1,2
159,T:M-E:2,0,D,T,,,,7,,,,,1,2
160,O:M-L:2,0,A,O,,,,,,57,,,2,2
160,O:M-L:2,0,B,O,,,,,,63,,,2,2
160,O:M-L:2,0,C,O,,,,,,56,,,2,2
160,O:M-L:2,0,D,O,,,,,,74,,,2,2
161,L:M-L:5,0,A,L,,,2,,,,,,2,5
161,L:M-L:5,0,B,L,,,0,,,,,,2,5
161,L:M-L:5,0,C,L,,,19,,,,,,2,5
161,L:M-L:5,0,D,L,,,10,,,,,,2,5
162,L:M-L:2,0,A,L,,,7,,,,,,2,2
162,L:M-L:2,0,B,L,,,9,,,,,,2,2
162,L:M-L:2,0,C,L,,,5,,,,,,2,2
162,L:M-L:2,0,D,L,,,2,,,,,,2,2
163,S:M-C:1,0,A,S,,,,,,,15,,0,1
163,S:M-C:1,0,B,S,,,,,,,32,,0,1
163,S:M-C:1,0,C,S,,,,,,,14,,0,1
163,S:M-C:1,0,D,S,,,,,,,28,,0,1
164,S:D-E:3,1,A,S,0,37,0,0,0,0,0,,1,3
164,S:D-E:3,1,B,S,0,81,0,0,0,0,0,,1,3
164,S:D-E:3,1,C,S,0,51,0,0,1,0,0,,1,3
164,S:D-E:3,1,D,S,0,58,0,0,1,0,0,,1,3
165,B:M-E:5,0,A,B,,47,,,,,,,1,5
165,B:M-E:5,0,B,B,,54,,,,,,,1,5
165,B:M-E:5,0,C,B,,70,,,,,,,1,5
165,B:M-E:5,0,D,B,,57,,,,,,,1,5
166,L:D-E:1,1,A,L,2,20,1,0,0,0,0,,1,1
166,L:D-E:1,1,B,L,2,16,2,0,0,0,7,,1,1
166,L:D-E:1,1,C,L,2,22,3,0,0,0,1,,1,1
166,L:D-E:1,1,D,L,5,18,1,0,0,0,0,,1,1
167,L:M-E:1,0,A,L,,,1,,,,,,1,1
167,L:M-E:1,0,B,L,,,0,,,,,,1,1
167,L:M-E:1,0,C,L,,,0,,,,,,1,1
167,L:M-E:1,0,D,L,,,0,,,,,,1,1
168,S:M-L:2,0,A,S,,,,,,,12,,2,2
168,S:M-L:2,0,B,S,,,,,,,23,,2,2
168,S:M-L:2,0,C,S,,,,,,,17,,2,2
168,S:M-L:2,0,D,S,,,,,,,14,,2,2
169,L:M-C:2,0,A,L,,,2,,,,,,0,2
169,L:M-C:2,0,B,L,,,6,,,,,,0,2
169,L:M-C:2,0,C,L,,,2,,,,,,0,2
169,L:M-C:2,0,D,L,,,4,,,,,,0,2
170,L:M-E:4,0,A,L,,,1,,,,,,1,4
170,L:M-E:4,0,B,L,,,1,,,,,,1,4
170,L:M-E:4,0,C,L,,,1,,,,,,1,4
170,L:M-E:4,0,D,L,,,1,,,,,,1,4
171,T:M-E:4,0,A,T,,,,8,,,,,1,4
171,T:M-E:4,0,B,T,,,,10,,,,,1,4
171,T:M-E:4,0,C,T,,,,9,,,,,1,4
171,T:M-E:4,0,D,T,,,,6,,,,,1,4
172,R:M-L:1,0,A,R,,,,,73,,,,2,1
172,R:M-L:1,0,B,R,,,,,69,,,,2,1
172,R:M-L:1,0,C,R,,,,,70,,,,2,1
172,R:M-L:1,0,D,R,,,,,96,,,,2,1
173,L:D-C:5,1,A,L,11,20,0,0,2,0,0,,0,5
173,L:D-C:5,1,B,L,7,26,0,0,0,0,0,,0,5
173,L:D-C:5,1,C,L,9,26,0,0,0,0,0,,0,5
173,L:D-C:5,1,D,L,6,37,0,0,0,0,0,,0,5
174,S:D-L:4,1,A,S,3,36,0,0,0,0,0,,2,4
174,S:D-L:4,1,B,S,3,75,0,0,0,0,0,,2,4
174,S:D-L:4,1,C,S,6,121,0,0,0,0,0,,2,4
174,S:D-L:4,1,D,S,8,43,0,0,2,0,0,,2,4
175,B:M-L:1,0,A,B,,168,,,,,,,2,1
175,B:M-L:1,0,B,B,,102,,,,,,,2,1
175,B:M-L:1,0,C,B,,105,,,,,,,2,1
175,B:M-L:1,0,D,B,,166,,,,,,,2,1
176,B:M-L:2,0,A,B,,117,,,,,,,2,2
176,B:M-L:2,0,B,B,,71,,,,,,,2,2
176,B:M-L:2,0,C,B,,123,,,,,,,2,2
176,B:M-L:2,0,D,B,,112,,,,,,,2,2
177,O:M-L:3,0,A,O,,,,,,49,,,2,3
177,O:M-L:3,0,B,O,,,,,,14,,,2,3
177,O:M-L:3,0,C,O,,,,,,41,,,2,3
177,O:M-L:3,0,D,O,,,,,,30,,,2,3
178,T:M-L:4,0,A,T,,,,1,,,,,2,4
178,T:M-L:4,0,B,T,,,,4,,,,,2,4
178,T:M-L:4,0,C,T,,,,5,,,,,2,4
178,T:M-L:4,0,D,T,,,,6,,,,,2,4
179,R:D-E:4,1,A,R,1,0,0,0,7,1,0,,1,4
179,R:D-E:4,1,B,R,0,0,0,0,4,0,0,,1,4
179,R:D-E:4,1,C,R,1,0,0,0,14,0,0,,1,4
179,R:D-E:4,1,D,R,2,0,0,0,6,0,0,,1,4
180,L:D-E:2,1,A,L,0,19,0,0,0,0,0,,1,2
180,L:D-E:2,1,B,L,1,6,0,1,0,0,0,,1,2
180,L:D-E:2,1,C,L,0,6,0,0,0,0,1,,1,2
180,L:D-E:2,1,D,L,0,8,0,0,0,0,1,,1,2
181,L:D-L:5,1,A,L,2,36,3,1,0,4,0,,2,5
181,L:D-L:5,1,B,L,0,42,5,0,2,0,0,,2,5
181,L:D-L:5,1,C,L,2,68,3,0,0,1,1,,2,5
181,L:D-L:5,1,D,L,3,42,6,0,0,0,0,,2,5
182,L:M-C:3,0,A,L,,,0,,,,,,0,3
182,L:M-C:3,0,B,L,,,3,,,,,,0,3
182,L:M-C:3,0,C,L,,,3,,,,,,0,3
182,L:M-C:3,0,D,L,,,4,,,,,,0,3
183,R:M-E:4,0,A,R,,,,,50,,,,1,4
183,R:M-E:4,0,B,R,,,,,54,,,,1,4
183,R:M-E:4,0,C,R,,,,,68,,,,1,4
183,R:M-E:4,0,D,R,,,,,62,,,,1,4
184,T:M-E:1,0,A,T,,,,13,,,,,1,1
184,T:M-E:1,0,B,T,,,,8,,,,,1,1
184,T:M-E:1,0,C,T,,,,13,,,,,1,1
184,T:M-E:1,0,D,T,,,,11,,,,,1,1
185,H:M-C:4,0,A,H,38,,,,,,,,0,4
185,H:M-C:4,0,B,H,60,,,,,,,,0,4
185,H:M-C:4,0,C,H,45,,,,,,,,0,4
185,H:M-C:4,0,D,H,50,,,,,,,,0,4
186,S:M-E:1,0,A,S,,,,,,,4,,1,1
186,S:M-E:1,0,B,S,,,,,,,6,,1,1
186,S:M-E:1,0,C,S,,,,,,,2,,1,1
186,S:M-E:1,0,D,S,,,,,,,3,,1,1
187,T:D-E:3,1,A,T,12,18,0,5,0,0,0,,1,3
187,T:D-E:3,1,B,T,33,0,0,1,0,0,0,,1,3
187,T:D-E:3,1,C,T,27,13,0,0,0,0,0,,1,3
187,T:D-E:3,1,D,T,15,0,0,2,0,0,0,,1,3
188,O:M-L:5,0,A,O,,,,,,63,,,2,5
188,O:M-L:5,0,B,O,,,,,,33,,,2,5
188,O:M-L:5,0,C,O,,,,,,58,,,2,5
188,O:M-L:5,0,D,O,,,,,,56,,,2,5
189,L:M-C:4,0,A,L,,,0,,,,,,0,4
189,L:M-C:4,0,B,L,,,1,,,,,,0,4
189,L:M-C:4,0,C,L,,,2,,,,,,0,4
189,L:M-C:4,0,D,L,,,9,,,,,,0,4
190,H:D-E:3,1,A,H,3,10,0,0,0,0,10,,1,3
190,H:D-E:3,1,B,H,5,16,0,0,0,0,4,,1,3
190,H:D-E:3,1,C,H,6,1,0,0,0,0,23,,1,3
190,H:D-E:3,1,D,H,6,11,0,0,1,0,0,,1,3
191,B:D-L:2,1,A,B,0,88,0,1,0,0,1,,2,2
191,B:D-L:2,1,B,B,0,169,0,0,0,1,0,,2,2
191,B:D-L:2,1,C,B,1,172,2,0,0,0,0,,2,2
191,B:D-L:2,1,D,B,1,226,0,0,0,0,0,,2,2
192,T:D-L:1,1,A,T,0,70,0,0,0,0,0,,2,1
192,T:D-L:1,1,B,T,3,13,1,0,15,0,2,,2,1
192,T:D-L:1,1,C,T,0,88,0,0,1,0,0,,2,1
192,T:D-L:1,1,D,T,1,63,0,0,17,0,1,,2,1
193,B:M-L:4,0,A,B,,99,,,,,,,2,4
193,B:M-L:4,0,B,B,,122,,,,,,,2,4
193,B:M-L:4,0,C,B,,118,,,,,,,2,4
193,B:M-L:4,0,D,B,,126,,,,,,,2,4
194,R:M-L:2,0,A,R,,,,,141,,,,2,2
194,R:M-L:2,0,B,R,,,,,195,,,,2,2
194,R:M-L:2,0,C,R,,,,,93,,,,2,2
194,R:M-L:2,0,D,R,,,,,105,,,,2,2
195,O:D-E:2,1,A,O,2,22,0,1,2,0,0,,1,2
195,O:D-E:2,1,B,O,1,9,0,0,0,1,0,,1,2
195,O:D-E:2,1,C,O,0,15,0,0,0,0,0,,1,2
195,O:D-E:2,1,D,O,0,16,0,0,0,0,1,,1,2
196,S:D-L:1,1,A,S,0,146,0,0,2,0,0,,2,1
196,S:D-L:1,1,B,S,0,170,0,0,0,0,0,,2,1
196,S:D-L:1,1,C,S,0,106,0,0,0,0,0,,2,1
196,S:D-L:1,1,D,S,1,182,0,0,1,0,0,,2,1
197,L:D-C:2,1,A,L,6,57,0,0,1,0,0,,0,2
197,L:D-C:2,1,B,L,11,36,0,0,0,0,0,,0,2
197,L:D-C:2,1,C,L,5,80,0,0,0,0,0,,0,2
197,L:D-C:2,1,D,L,5,76,0,0,1,0,0,,0,2
198,H:M-L:2,0,A,H,5,,,,,,,,2,2
198,H:M-L:2,0,B,H,4,,,,,,,,2,2
198,H:M-L:2,0,C,H,3,,,,,,,,2,2
198,H:M-L:2,0,D,H,3,,,,,,,,2,2
199,H:M-L:3,0,A,H,5,,,,,,,,2,3
199,H:M-L:3,0,B,H,4,,,,,,,,2,3
199,H:M-L:3,0,C,H,5,,,,,,,,2,3
199,H:M-L:3,0,D,H,6,,,,,,,,2,3
200,R:D-E:3,1,A,R,0,3,0,0,14,0,0,,1,3
200,R:D-E:3,1,B,R,0,0,0,1,17,0,0,,1,3
200,R:D-E:3,1,C,R,0,0,2,0,47,0,0,,1,3
200,R:D-E:3,1,D,R,0,0,3,0,28,0,1,,1,3
201,T:D-L:2,1,A,T,0,124,0,2,0,1,0,,2,2
201,T:D-L:2,1,B,T,0,53,0,5,6,7,0,,2,2
201,T:D-L:2,1,C,T,0,87,0,0,3,7,0,,2,2
201,T:D-L:2,1,D,T,1,77,0,0,1,2,0,,2,2
202,O:D-C:1,1,A,O,7,2,5,0,0,1,0,,0,1
202,O:D-C:1,1,B,O,4,1,9,0,0,0,0,,0,1
202,O:D-C:1,1,C,O,18,0,3,0,0,0,0,,0,1
202,O:D-C:1,1,D,O,9,0,6,0,0,0,0,,0,1
203,T:M-C:4,0,A,T,,,,17,,,,,0,4
203,T:M-C:4,0,B,T,,,,16,,,,,0,4
203,T:M-C:4,0,C,T,,,,19,,,,,0,4
203,T:M-C:4,0,D,T,,,,12,,,,,0,4
204,B:D-C:3,1,A,B,1,162,0,0,0,0,0,,0,3
204,B:D-C:3,1,B,B,2,108,0,0,0,0,0,,0,3
204,B:D-C:3,1,C,B,5,141,0,0,0,0,0,,0,3
204,B:D-C:3,1,D,B,7,110,0,0,0,0,0,,0,3
205,T:M-C:2,0,A,T,,,,10,,,,,0,2
205,T:M-C:2,0,B,T,,,,5,,,,,0,2
205,T:M-C:2,0,C,T,,,,7,,,,,0,2
205,T:M-C:2,0,D,T,,,,12,,,,,0,2
206,O:D-C:4,1,A,O,30,3,0,0,0,0,0,,0,4
206,O:D-C:4,1,B,O,24,4,5,0,0,0,0,,0,4
206,O:D-C:4,1,C,O,11,6,5,0,0,0,0,,0,4
206,O:D-C:4,1,D,O,12,11,9,0,0,0,0,,0,4
207,L:D-E:4,1,A,L,0,3,0,0,0,0,0,,1,4
207,L:D-E:4,1,B,L,4,11,0,0,0,0,0,,1,4
207,L:D-E:4,1,C,L,5,9,0,0,0,0,0,,1,4
207,L:D-E:4,1,D,L,12,3,0,0,0,0,0,,1,4
208,O:D-L:5,1,A,O,2,93,2,0,0,0,0,,2,5
208,O:D-L:5,1,B,O,7,79,0,0,1,0,0,,2,5
208,O:D-L:5,1,C,O,5,164,0,0,0,0,0,,2,5
208,O:D-L:5,1,D,O,10,105,0,0,0,0,0,,2,5
209,H:M-C:5,0,A,H,1,,,,,,,,0,5
209,H:M-C:5,0,B,H,13,,,,,,,,0,5
209,H:M-C:5,0,C,H,7,,,,,,,,0,5
209,H:M-C:5,0,D,H,15,,,,,,,,0,5
210,S:M-L:3,0,A,S,,,,,,,19,,2,3
210,S:M-L:3,0,B,S,,,,,,,17,,2,3
210,S:M-L:3,0,C,S,,,,,,,21,,2,3
210,S:M-L:3,0,D,S,,,,,,,15,,2,3
